number,nextgen_id,time_zone,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
0366,e051b0f6-a07b-47a6-be40-41785952cda7,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0367,a897fefb-aba9-42e8-ac82-908de33fc706,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0368,6076e87e-c5fa-417e-a990-3eb7bcf0ab21,America/Detroit,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0370,240c6eba-5b84-433a-9d3a-3a3a4f0fd6c1,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0371,850277ae-703c-4da4-bda3-6266b4b73f97,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0372,45720e59-d615-4217-95fb-ca0d308252e3,America/New_York,12:00,19:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
0373,a4ebf5bb-8de9-4c59-8d5c-bf508e594e19,America/Chicago,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0375,3b177c43-3d16-4dc6-aacd-a02c024ec53b,America/Phoenix,11:00,18:00,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,21:00,10:00,21:00
0377,3d2e0b3f-08c2-4e53-b578-303539c45458,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0378,2636e8cc-56c1-447b-9937-cd10240ce08b,America/Chicago,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0379,b8f74a57-d192-4f0f-8eaf-826ee287f30f,America/Chicago,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0383,3499c4d5-64ae-453e-9276-074c7d4c4fed,America/New_York,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0384,e9bd63b9-403d-4c22-b5a9-a42d9fab5c48,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
